,t2_towerKills,t1_towerKills,firstInhibitor,t2_inhibitorKills,t1_inhibitorKills,firstTower,firstBaron,t2_dragonKills,t1_dragonKills,t1_baronKills,t2_baronKills,firstDragon
26375,10,3,2,3,0,2,0,1,1,0,0,1
26376,1,9,1,0,2,1,0,1,1,0,0,2
26377,4,10,1,0,1,2,0,1,2,0,0,2
26378,11,1,2,3,0,2,2,3,0,0,1,2
26379,3,8,1,0,1,1,1,1,2,1,0,2
26380,5,11,1,0,6,1,1,0,4,2,0,1
26381,0,6,0,0,0,1,0,0,2,0,0,1
26382,10,6,2,2,0,2,2,4,0,0,1,2
26383,0,7,1,0,1,1,0,0,1,0,0,1
26384,3,8,1,0,1,1,1,1,1,1,0,2
26385,1,8,1,0,1,1,1,1,1,1,0,2
26386,2,11,1,0,2,1,1,1,2,1,0,2
26387,7,1,2,1,0,2,2,2,0,0,1,2
26388,4,7,1,0,2,1,2,1,4,0,2,1
26389,2,7,1,0,1,1,2,0,4,0,1,1
26390,2,10,1,0,1,1,1,0,3,1,0,1
26391,7,2,2,1,0,2,0,3,0,0,0,2
26392,8,4,2,1,0,1,1,0,3,1,0,1
26393,4,9,1,0,1,2,1,2,2,1,0,1
26394,3,2,0,0,0,2,0,1,0,0,0,2
26395,0,7,0,0,0,1,0,1,1,0,0,2
26396,10,2,2,2,0,1,2,1,1,0,1,1
26397,10,3,2,2,0,2,0,2,1,0,0,2
26398,5,2,2,1,0,1,2,2,0,0,1,2
26399,0,10,1,0,2,1,1,0,3,1,0,1
26400,0,9,1,0,1,1,0,1,1,0,0,2
26401,0,8,1,0,1,1,0,0,3,0,0,1
26402,2,7,1,0,2,1,1,1,2,2,0,1
26403,7,1,2,1,0,1,0,2,0,0,0,2
26404,3,8,1,0,2,1,0,0,3,0,0,1
26405,0,10,1,0,2,1,0,0,3,0,0,1
26406,6,10,2,1,3,1,2,2,1,0,1,1
26407,7,0,2,1,0,2,0,1,0,0,0,2
26408,2,10,1,0,1,1,1,0,2,1,0,1
26409,4,10,1,0,4,1,1,1,3,1,0,2
26410,5,0,0,0,0,2,0,1,0,0,0,2
26411,10,2,2,2,0,1,0,2,1,0,0,1
26412,4,8,1,0,2,2,1,1,3,1,0,2
26413,10,0,2,2,0,2,0,1,0,0,0,2
26414,3,10,1,0,3,1,1,2,2,2,0,2
26415,11,6,2,4,0,1,2,2,1,0,2,2
26416,0,11,1,0,3,1,0,0,0,0,0,0
26417,6,7,1,0,1,2,0,1,1,0,0,1
26418,2,0,0,0,0,2,0,1,0,0,0,2
26419,7,10,2,2,2,2,2,3,0,1,1,2
26420,9,2,2,2,0,1,2,2,1,0,1,2
26421,9,1,2,1,0,2,2,2,0,0,1,2
26422,11,4,2,3,0,1,2,2,0,0,1,2
26423,11,2,2,3,0,2,2,3,1,0,1,2
26424,10,5,1,2,1,2,1,4,0,1,1,2
26425,8,3,2,2,0,2,1,4,0,1,1,2
26426,3,7,1,0,1,2,1,2,1,1,0,2
26427,5,10,1,0,1,2,0,0,4,0,0,1
26428,11,2,2,3,0,2,2,3,1,0,1,2
26429,4,8,1,0,1,1,2,0,2,0,1,1
26430,0,7,1,0,1,1,0,0,0,0,0,0
26431,0,11,1,0,3,1,0,0,1,0,0,1
26432,10,3,2,2,0,2,2,2,0,0,2,2
26433,0,5,0,0,0,1,0,0,1,0,0,1
26434,9,5,2,2,0,2,2,2,1,0,1,2
26435,10,1,2,2,0,2,2,2,0,0,1,2
26436,9,3,2,1,0,2,2,2,1,0,1,1
26437,11,11,2,4,3,1,1,3,2,2,1,1
26438,5,0,2,1,0,2,0,2,0,0,0,2
26439,0,5,0,0,0,1,0,0,2,0,0,1
26440,0,7,1,0,1,1,0,0,2,0,0,1
26441,11,4,2,3,0,1,2,1,1,0,1,2
26442,7,1,2,1,0,2,0,1,1,0,0,1
26443,3,11,1,0,3,2,0,0,4,0,0,1
26444,10,8,2,2,1,2,2,2,3,1,1,1
26445,8,3,2,1,0,1,2,2,1,0,1,2
26446,3,10,1,0,2,1,2,0,4,0,1,1
26447,8,10,2,1,2,2,1,0,3,1,0,1
26448,0,0,0,0,0,0,0,0,0,0,0,0
26449,10,6,2,2,1,2,2,4,1,1,2,2
26450,2,10,1,0,2,1,1,1,2,1,0,2
26451,8,3,2,1,0,2,2,1,1,0,1,1
26452,10,9,2,4,2,2,1,1,5,1,2,1
26453,9,7,1,1,2,1,2,2,2,0,1,2
26454,1,6,1,0,1,1,0,1,2,0,0,1
26455,9,0,2,1,0,2,2,3,0,0,1,2
26456,7,7,1,1,1,1,1,1,1,1,0,1
26457,7,7,2,2,1,2,2,3,1,1,1,1
26458,11,7,1,5,2,1,2,4,0,0,2,2
26459,6,10,1,0,2,1,1,2,2,2,0,1
26460,2,8,1,0,1,1,0,0,3,0,0,1
26461,9,7,2,5,2,2,2,3,2,0,2,2
26462,0,0,0,0,0,0,0,0,0,0,0,0
26463,9,0,2,1,0,2,0,2,0,0,0,2
26464,10,3,2,3,0,1,2,1,1,0,1,1
26465,8,0,2,1,0,2,2,1,1,0,1,2
26466,11,1,2,3,0,1,0,2,1,0,0,2
26467,2,9,1,0,3,1,1,1,1,1,0,2
26468,1,5,0,0,0,1,0,0,2,0,0,1
26469,1,11,1,0,4,1,1,1,2,1,0,2
26470,4,11,1,0,4,1,2,1,4,2,1,1
26471,11,0,2,2,0,2,0,2,0,0,0,2
26472,10,3,2,3,0,1,2,4,1,0,1,1
26473,11,2,2,4,0,1,2,3,0,0,2,2
26474,1,11,1,0,3,1,1,1,2,1,0,1
26475,9,6,1,1,1,2,1,0,3,2,0,1
26476,4,0,0,0,0,2,0,0,0,0,0,0
26477,3,5,0,0,0,1,0,1,2,0,0,2
26478,9,5,2,1,0,2,0,1,1,0,0,1
26479,11,0,2,3,0,2,2,3,0,0,1,2
26480,4,11,1,0,3,1,0,0,5,0,0,1
26481,1,9,1,0,1,1,1,0,1,1,0,1
